graph,algo,diameter,bfs_count,startvtx_degree,startvtx_ecc,time_diameter_exact
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=34121_square,q5,12,2,14723,6,263.125
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=356,ifub_foursweephd,12,6,23877,6,62.7266
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=356,ifub_hd,12,2,23877,6,110.938
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=356,random,12,6,7,7,44.7282
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=356,q1,12,6,1,7,449.074
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=356,q2,12,6,12,7,589.851
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=356,q3,12,6,154,7,911.251
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=356,q4,12,6,1965,7,1107.2
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=356,q5,12,2,23877,6,132.278
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=356_square,ifub_foursweephd,15,7,5,8,1211.35
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=356_square,ifub_hd,15,7,19720,10,294.239
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=356_square,random,15,10,6,11,36.5347
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=356_square,q1,15,15,1,12,1828.03
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=356_square,q2,15,10,11,11,1394.91
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=356_square,q3,15,7,140,10,323.076
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=356_square,q4,15,7,1669,10,647.485
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=356_square,q5,15,7,19720,10,694.696
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=489,ifub_foursweephd,11,12,24261,6,2332.59
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=489,ifub_hd,11,8,24261,6,186.798
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=489,random,11,30,9,7,1899.46
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=489,q1,11,30,1,7,1884.35
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=489,q2,11,28,12,7,3430.53
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=489,q3,11,15,155,7,1738.01
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=489,q4,11,10,1949,6,905.093
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=489,q5,11,8,24261,6,384.293
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=489_square,ifub_foursweephd,12,6,1171,6,669.795
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=489_square,ifub_hd,12,3,18032,7,217.286
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=489_square,random,12,25,4,9,2606.68
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=489_square,q1,12,44,1,9,2344.64
